Production Name,Production Code,OverallScore,Quality,ValueForMoney,Fit,Style,HowDoesItFit
Hooded Parka with Stormwear™,T493701
Faux Suede Fringe Trim Waistcoat,T666252
Open Front Floral Jacket,T621407L,5,5,5,5,5,True to size,"I really love this. It's very versatile and will work well with navy, black or white trousers. Can't wait to take it on holiday..",A Fabulous Jacket...,22 April 2016,55-64,Bath
Open Front Floral Jacket,T621407L,1,4,,,,True to size,"Looks lovely on website but let down when received, material that it is made out of awful, had to go back.",Per Una Jacket,21 April 2016,55-64,Norfolk
Open Front Floral Jacket,T621407L,5,5,5,5,5,True to size,Looks good and a very comfortable fit I bought this jacket for a wedding wearing it with navy linen pants also m&amp;s and just orderd a top to go with the outfit,Jacket,21 April 2016,65+,Liverpool
Open Front Floral Jacket,T621407L,4,4,4,4,4,True to size,"As the other lady reviewer says &quot;another jacket for the collection&quot; as I too have several of the same ilk. However, this is because this jacket has a certain appeal for me - it is smart but not overly so, it can be used with jeans, trousers or even over a plain navy shift dress.",Yet Another Jacket,18 April 2016,65+,Cumbria
Open Front Floral Jacket,T621407L,4,4,4,5,5,True to size,"Last spring, after Mary Berry wore a blue floral M&amp;S jacket on the GBBO, several lightweight jackets became available at M&amp;S which I purchased. They were great, fitted all sorts of occasions and were good value for money. This jacket is similar but a lighter weight, silky and not lined. Good colours and good fit but not as versatile as the ones last spring and a good deal more expensive. I won't get quite the same wear out of it but it feels good on. Nice piece.",One more for the collection,15 April 2016,65+,West Berkshire
PLUS Front Zipped Pockets Style Jacket,T973555E,1,1,1,3,2,A bit small,"I was really looking forward to this jacket but was very disappointed when it arrived. For £49,50 it is very poor quality, no lining, and thin material. Also, it arrived in a small bag, creased and also as if it was a returned item from someone else. Returned.",So disappointed,17 April 2016,55-64,Aylesbury
Pleated Denim Jacket,T666264
Embroidered Denim Jacket,T666650
PLUS Open Front Waterfall Coat,T973509E,1,1,1,1,1,Very big,"So disappointed with this garment.Not M&amp;S usual quality and workmanship. Certainly not worth the money.Unfortunatly going back.Where are all Per Una's lovely long skirts(39in) and maxi dresses with elbow length sleeves.I am finding it harder and harder to find anything I would want to wear,you seem to be carterlng for the trouser and short skirt and lovely arm bragade.Please consider my remarks as I am running out of clothes.Thank you.justlovelongclothes16",Creasy coat,19 April 2016,65+,Newcastle upon Tyne
PLUS Open Front Waterfall Coat,T973509E,1,1,1,3,4,True to size,Fabric felt cheap and creased very badly. Stitching and finishing was poor. I would have been disappointed if it had cost only half the price. It went straight back.,Disappointing,16 April 2016,65+,"London, UK"
Pure Cotton Embroidered Yoke Jacket,T666362
Cotton Rich Textured Striped Jacket,T621411L
